episode,score,mean_score_100,epsilon,loss
0,3,3.0,0.9764251881590177,1.273108959197998
1,5,4.0,0.9298252714367987,0.9961660802364349
2,3,3.6666666666666665,0.9241113898523886,0.8535816073417664
3,5,4.0,0.8831621561740878,0.7844300717115402
4,6,4.4,0.8612194553606838,0.7204400062561035
5,7,4.833333333333333,0.8405727496858215,0.6819803367058436
6,4,4.714285714285714,0.8252900891236566,0.6356735953262874
7,2,4.375,0.8209932913296969,0.600472915917635
8,5,4.444444444444445,0.8034855131159353,0.568867587380939
9,4,4.4,0.8000847531493799,0.5423739224672317
10,7,4.636363636363637,0.7834919428315417,0.5397226458246057
11,11,5.166666666666667,0.7566055743547729,0.5436762049794197
12,5,5.153846153846154,0.7461470711603423,0.5418391571595118
13,5,5.142857142857143,0.7388858418890255,0.52886806002685
14,9,5.4,0.7241578654139045,0.5202522297700246
15,5,5.375,0.7116309967234496,0.5113671850413084
16,9,5.588235294117647,0.6939477405731619,0.5012796293286716
17,8,5.722222222222222,0.6842792190237778,0.4904828386174308
18,11,6.0,0.6719726229239422,0.47229859781892675
19,4,5.9,0.6585197275233582,0.4591181665658951
20,7,5.9523809523809526,0.6509348268228234,0.4560193646521795
21,6,5.954545454545454,0.6420388631056724,0.4490965550596064
22,5,5.913043478260869,0.6334830108948616,0.4440577302290046
23,10,6.083333333333333,0.6259833870984711,0.4380893347163995
24,11,6.28,0.6152327893674863,0.43118749022483827
25,6,6.269230769230769,0.6086622394206948,0.42164209141181064
26,5,6.222222222222222,0.6030964276117706,0.4160718090004391
27,9,6.321428571428571,0.5906651279408547,0.4115257252539907
28,8,6.379310344827586,0.5825626871349354,0.4069742837856556
29,8,6.433333333333334,0.5764084081662998,0.39851003090540565
30,7,6.451612903225806,0.5722233431848609,0.3925114533593578
31,1,6.28125,0.5716713958613333,0.39100699312984943
32,10,6.393939393939394,0.5635939603046675,0.3880727029207981
33,6,6.382352941176471,0.5592625573349005,0.3824123345753726
34,8,6.428571428571429,0.5540837018233971,0.37606199894632614
35,11,6.555555555555555,0.5459744154177892,0.3710561758942074
36,11,6.675675675675675,0.5405846837069325,0.36746680575448115
37,8,6.7105263157894735,0.5361526585680173,0.36581309845573023
38,7,6.717948717948718,0.5312213014327781,0.3635921447705
39,5,6.675,0.5261345644925552,0.3609122335910797
40,8,6.7073170731707314,0.519747300499774,0.35575926958060844
41,12,6.833333333333333,0.5133913002354221,0.35270903578826357
42,7,6.837209302325581,0.5089951502148352,0.3501998567303946
43,11,6.931818181818182,0.5037182318845129,0.35120729492469266
44,5,6.888888888888889,0.500920786573153,0.34901394115553963
45,13,7.021739130434782,0.4926251462554929,0.34747668906398443
46,12,7.127659574468085,0.4811865254408342,0.34226759190255024
47,11,7.208333333333333,0.47534372425053467,0.3409339462717374
48,10,7.26530612244898,0.469844771784382,0.3395928430313967
49,8,7.28,0.4658143330181953,0.3358076375722885
50,5,7.235294117647059,0.46308098851962126,0.33549578633962895
51,10,7.288461538461538,0.4565935067360803,0.3345694914460182
52,15,7.433962264150943,0.44949176666712787,0.33336434274349575
53,13,7.537037037037037,0.44290711627690654,0.3305037231357009
54,5,7.490909090909091,0.4403142188438936,0.329269310019233
55,19,7.696428571428571,0.43155907570189617,0.3306122438183853
56,13,7.7894736842105265,0.4259997612976015,0.3313146280614953
57,9,7.810344827586207,0.4222816928333384,0.3307980751169139
58,9,7.830508474576271,0.4192159791889408,0.32806362742084566
59,10,7.866666666666666,0.41550070575333725,0.3282273918390274
60,9,7.885245901639344,0.4119963669115048,0.32850916512676925
61,22,8.112903225806452,0.40390785838208354,0.32614697035281887
62,7,8.095238095238095,0.400791724828928,0.32548408896204023
63,20,8.28125,0.3945976706150667,0.32464721938595176
64,11,8.323076923076924,0.3916500076163406,0.32225006543673
65,16,8.43939393939394,0.3869598977560415,0.3200090220480254
66,5,8.388059701492537,0.38554981829438595,0.3185291824056141
67,7,8.367647058823529,0.38316329139248617,0.3181837683214861
68,10,8.391304347826088,0.3797475630247504,0.31803981592689734
69,9,8.4,0.37725598572196517,0.3157862003360476
70,7,8.380281690140846,0.3737896656313289,0.31380739682157277
71,16,8.48611111111111,0.370076804439204,0.3123392661412557
72,9,8.493150684931507,0.36794783588777924,0.31091396490188494
73,16,8.594594594594595,0.3630933514040724,0.3079454820301082
74,8,8.586666666666666,0.3613650974935041,0.30760052144527433
75,15,8.671052631578947,0.35672028527008015,0.3065094530190292
76,8,8.662337662337663,0.3554431762300174,0.30413551444744136
77,6,8.628205128205128,0.3537868353334376,0.30279136076569557
78,11,8.658227848101266,0.3511768662076104,0.30122068722414064
79,5,8.6125,0.3496239870610198,0.3002207157202065
80,8,8.604938271604938,0.3478652076601938,0.30036743932668075
81,13,8.658536585365853,0.34293548669028495,0.29905659605453655
82,16,8.74698795180723,0.3388920268498145,0.2968381207032376
83,8,8.738095238095237,0.33614550664256426,0.29661289549299646
84,15,8.811764705882354,0.3327807830946754,0.2959843865212272
85,10,8.825581395348838,0.32994738946229146,0.2953630663281263
86,10,8.839080459770114,0.32692474021808837,0.2946312151763631
87,11,8.863636363636363,0.3240531652069236,0.29402156495912507
88,12,8.898876404494382,0.32163044369249355,0.29245400479000605
89,10,8.911111111111111,0.31913727198529757,0.2919953864481714
90,7,8.89010989010989,0.31786863633966733,0.2921405999542593
91,5,8.847826086956522,0.31633855620067036,0.2901238217625929
92,14,8.903225806451612,0.31368347498212185,0.2900982545588606
93,5,8.861702127659575,0.3122917863531143,0.29122498076646886
94,19,8.968421052631578,0.3076379501208028,0.291328113800601
95,9,8.96875,0.3050465703523444,0.2904091246115665
96,13,9.010309278350515,0.3016323710428613,0.29008332125304903
97,13,9.051020408163266,0.29873250867697376,0.28896556657796
98,7,9.030303030303031,0.2971066836759884,0.2871118722238926
99,9,9.03,0.2943494261041956,0.2857385478913784
100,8,9.08,0.29259919648601995,0.2850023391518262
101,11,9.14,0.2903459869102114,0.2761937207219624
102,14,9.25,0.288366228431448,0.27076090105099254
103,11,9.31,0.2856560884403998,0.26642453537719085
104,4,9.29,0.2850060276733263,0.2628768155775448
105,10,9.32,0.28294702122178744,0.26067290772305857
106,14,9.42,0.2798884684972915,0.2571083982982258
107,11,9.51,0.2775599662582604,0.25598229969492053
108,7,9.53,0.2762753805674153,0.2564169293878102
109,11,9.6,0.27344645343465346,0.2559323017254914
110,6,9.59,0.2722202141693971,0.2540304308923164
111,4,9.52,0.271175669210523,0.2520848087007456
112,12,9.59,0.26927396973603074,0.24882359337983745
113,11,9.65,0.26738666839533326,0.24553514847365937
114,9,9.65,0.26623899080566177,0.24319511615108735
115,1,9.61,0.2658576160117327,0.24180845599068274
116,12,9.64,0.26375230632140956,0.24048821783006782
117,21,9.77,0.2605318640602343,0.23956252523873112
118,12,9.78,0.25871075088904333,0.2396774046344332
119,11,9.85,0.25710487923466513,0.23966785003938298
120,14,9.92,0.2543469176840652,0.24097454570012516
121,7,9.93,0.2529566935421157,0.2392163535598481
122,16,10.04,0.2504082122573531,0.2386691222834115
123,19,10.13,0.24664900144525378,0.23756882791767026
124,14,10.16,0.2445060311572899,0.23734181153007072
125,14,10.24,0.24125205493011084,0.23658663646714523
126,5,10.24,0.240567235578249,0.23729875056755426
127,12,10.27,0.23895200962367075,0.23560369619638613
128,17,10.36,0.23712051578612067,0.23450452133570568
129,20,10.48,0.23339663530539823,0.23342101128384618
130,12,10.53,0.23138953558450642,0.23499668219892106
131,11,10.63,0.2298100445628112,0.23530413623493496
132,17,10.7,0.22712087740802142,0.23371396221146726
133,9,10.73,0.226242481592314,0.23222380906048387
134,9,10.74,0.22477310712249463,0.23115964750252146
135,21,10.84,0.22231028266273142,0.23211082550558712
136,11,10.84,0.22122075151800283,0.23258110998880746
137,16,10.92,0.2193780102114975,0.23245453554214818
138,18,11.03,0.21700962229153442,0.2318977543918213
139,14,11.12,0.215000587555555,0.23248626114708362
140,12,11.16,0.21334043977710826,0.23215990447171844
141,5,11.09,0.21266493106771148,0.231782628241742
142,5,11.07,0.21235691365764156,0.23096755095342597
143,11,11.07,0.21128272547527974,0.23051409076641102
144,19,11.21,0.20838779386943646,0.2287161737532899
145,15,11.23,0.20689604845303297,0.22822549666213518
146,9,11.2,0.20582447988645,0.2283523875740495
147,11,11.2,0.20434381460535586,0.22902073180026347
148,12,11.22,0.20334187358504854,0.2290750732368762
149,9,11.23,0.20225422839044943,0.22881805904135846
150,10,11.28,0.20088339039130823,0.23080943015837432
151,12,11.3,0.1993523975105671,0.2295176738707146
152,12,11.27,0.1982705912692406,0.22907136432310143
153,3,11.17,0.1978076897646643,0.22981556637747452
154,6,11.18,0.1972750660304394,0.22920020935263966
155,18,11.17,0.19515172033544806,0.22903990443095124
156,17,11.21,0.19314035595490792,0.22631981459879638
157,21,11.33,0.19091264391341342,0.2254766809320686
158,3,11.27,0.19032401126707696,0.22499070803422738
159,13,11.3,0.18873890368748647,0.22380048409104347
160,17,11.38,0.1866427953614368,0.2225510180365331
161,7,11.23,0.1859443633548274,0.22210486281183686
162,11,11.27,0.18459741307153218,0.2216349070393803
163,10,11.17,0.18368642775163213,0.22049149992589903
164,15,11.21,0.1819929104571548,0.2199365075050604
165,12,11.17,0.18075839274299693,0.21966581271574048
166,13,11.25,0.179573171364355,0.21999571026109233
167,16,11.34,0.17816717948855212,0.22063005387340442
168,6,11.3,0.17752789783079834,0.21954704810044554
169,19,11.4,0.17525246086412566,0.21870268811241234
170,5,11.38,0.1747177627587298,0.21850481160944052
171,11,11.33,0.17356939839485222,0.21927684696741623
172,15,11.39,0.1720565622457503,0.22001751670890515
173,11,11.34,0.17120742529969976,0.21888557176041132
174,12,11.38,0.17016768529331908,0.2207945552424039
175,10,11.33,0.1691127262122669,0.22042706044446123
176,8,11.33,0.1679467736626609,0.2197759561240673
177,7,11.34,0.16733406679806664,0.22012893298622405
178,6,11.29,0.1666138957308126,0.21979516482736805
179,11,11.35,0.16588995019036334,0.2201673300328231
180,17,11.44,0.16455391782097956,0.22089201894284474
181,7,11.38,0.16379699840443632,0.21986712164955563
182,13,11.35,0.16236619436394156,0.21947250541041394
183,10,11.37,0.1616915584694179,0.22028060755369686
184,18,11.4,0.16000842112100253,0.21917670002520676
185,6,11.36,0.15960996519021386,0.21878676496372365
186,13,11.39,0.1583176112742814,0.2183998201669443
